,UCS v8.2.1 Category List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEEPS,MEDICAL,BEEPMed,BEEP,"Beeps from various medical devices, EKG, Life Support.","ECG, EEG, EKG, Flatline, Heart, KDC, Monitor, Oximeter, Pulse, Ultrasound",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEEPS,TIMER,BEEPTimer,BEEP,"Specifically timer beeps, counting down. Classic time bomb beeps.","Countdown, Digital, Kitchen, Microwave, Oven, Phone, Timer, Watch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEEPS,VEHICLE,BEEPVeh,BEEP,Backup beeps from a large truck or construction vehicle.,"Alert, Backup, Beep, Blink, Blinker, Forklift, Reverse, Reversing, Signal, Warning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELLS,ANIMAL,BELLAnml,BELL,"Bells attached to animals, like cow and sheep bells, or a dog or cat collar with a bell on it.","Bell, Collar, Cowbell, Hawkbell, Sheep, Sleigh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELLS,DOORBELL,BELLDoor,BELL,Mechanical doorbells. Would also maybe electronic doorbells in here as well to avoid confusion probably. Also see ALARMS-BUZZERS for a door buzzer.,"Chime, Ding, Ding-Dong, Dong, Door, Doorbell, Ring",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELLS,GONG,BELLGong,BELL,A large flat circular disc hit with a mallet. With v8.2 of the list most of these would now go into MUSICAL-BELLS instead.,"Agung, Bowl, Buddhist, Gamelan, Gong, Meditation, Tam-Tam, Temple, Tibetan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELLS,HANDBELL,BELLHand,BELL,"Small to medium hand bells, dinner bells. Musical bells like HANDBELLS and CARILLION now go into MUSICAL-BELLS.","Alter, Bells, Butler, Dinner, Hand, Jingle, School, Service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELLS,LARGE,BELLLrg,BELL,"Large bells like a church bell or tower bell, or city hall bells, Big Ben. Any large bell.","Ben, Big, Cathedral, Church, Liberty, Peal, Temple, Tower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELLS,MISC,BELLMisc,BELL,Bell sounds not fitting another category in this list.,"Bicycle, Fire, School, Train, Tram, Trolley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRDS,BIRD OF PREY,BIRDPrey,BIRD,"Birds that prey on vertebrates, especially rodents. Raptors.","Avivore, Bald, Birdlover, Birdseye, Birdtrap, Buzzard, Caracara, Condor, Eagle, Eaglehawk, Falcon, Fishhawk, Golden, Goshawk, Harrier, Hawk, Hawkling, Kestrel, Kite, Merlin, Osprey, Owl, Peregrine, Raptor, Red-Tailed, Redtail, Sparhawk, Sparrowhawk, Swallow-Tailed, Talon, Verreaux, Vulture, White-Tailed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRDS,CROW,BIRDCrow,BIRD,"Birds in Corvid family, which includes crows and ravens.","Beak, Blue, BluJay, Cawed, Cawing, Caws, Chough, Choughs, Corvid, Corvine, Crow, Crowe, Grackle, Jackdaw, Jay, Jays, Magpie, Nutcracker, Raven, Ravens, Rook, Rooks, Squawking, Treecreeper, Treepies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRDS,FOWL,BIRDFowl,BIRD,"Landfowl, wildfowl and waterfowl, also poultry. Ground feeding and many water feeding birds.","Barnyard, Capon, Chachalacas, Chicken, Chitterling, Chukar, Cockerel, Curassow, Duck, Duckling, Ducks, Eider, Emu, Fowl, Fowle, Gamebirds, Geese, Giblet, Goose, Grebe, Grouse, Guans, Guineafowl, Hen, Hens, Mallard, Muscovy, Ostrich, Partridge, Partridges, Peafowl, Pheasant, Pheasants, Plumage, Poulterer, Poussin, Ptarmigan, Quail, Quails, Rooster, Squab, Swan, Teal, Turkey, Turkeys, Turkies, Waterfowl, Woodcocks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRDS,MISC,BIRDMisc,BIRD,Bird sounds not fitting another category in this list.,"Ani, Cassowary, Cuckoo, Emu, Hummingbird, Kiwi, Nighthawk, Nightjar, Ostrich, Poorwill, Roadrunner, Woodpecker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRDS,SEA,BIRDSea,BIRD,"Birds that live mostly near the ocean. Seagulls, pelicans.","Albatross, Auk, Auklet, Black-Legged, Booby, Bowerbird, Brown, Cormorant, Dunlin, Frigatebird, Fulmar, Gannet, Guillemot, Gull, Kittiwake, Migratory, Murrelet, Noddy, Oystercatcher, Pelican, Penguin, Petrel, Plover, Puffin, Razorbill, Sandpiper, Sandplover, Seabird, Seaduck, Seafowl, Seagull, Seahawk, Shearwater, Sheerwater, Shorebird, Skua, Skuas, Tern, Waterfowl, Widowbird, Yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRDS,SONGBIRD,BIRDSong,BIRD,"Specifically singing birds, warblers, robins, thrushes, what you imagine pretty dawn chorus birds.","Antechinus, Bellbird, Bellbirds, Birdcall, Birdy, Blackbird, Bluebird, Bobwhite, Bowerbird, Bowerbirds, Budgerigar, Bullfinch, Bunting, Canary, Cardinal, Chaffinch, Chat, Chickadee, Chirrups, Cisticola, Cockatiel, Creeper, Dipper, Dove, Finch, Flycatcher, Gnatcatcher, Greenfinch, Grosbeak, Hawfinch, Honeyeater, Kinglet, Lark, Lovebird, Meadowlark, Mockingbird, Nightingale, Nuthatch, Oriole, Oscine, Ovenbird, Parula, Penduline, Pigeon, Robin, Serin, Skylark, Songful, Songster, Songstress, Sparrow, Starling, Swallow, Tanager, Thrasher, Thrush, Tit, Titmouse, Towhee, Treecreeper, Troupial, Vireo, Warble, Warbler, Warblers, Warbles, Waxwing, Whitethroat, Woodlark, Wren",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRDS,TROPICAL,BIRDTrop,BIRD,"Birds living in tropical locations, jungle and tropical rainforest birds. Parrots and Toucans.","Antbird, Aracari, Barbet, Bellbird, Bulbul, Cockatoo, Coquette, Eye, Firebird, Honeycreeper, Hornbill, Ibis, Jacamar, Kookaburra, Lorikeet, Lyrebird, Macaw, Manakin, Mango, Motmot, Mynah, Mynas, Parakeet, Parrot, Parroting, Parrots, Peacock, Potoo, Puffbird, Quetzal, Runner, Shoebill, Skimmer, Sunbird, Tanager, Toucan, Trogon, Tropicbird",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRDS,WADING,BIRDWade,BIRD,"Long-legged, long-billed birds that feed primarily in shallow water. Think Herons and Egrets.","Avocet, Bittern, Blue, Bower, Coot, Crane, Curlew, Dowitcher, Egret, Flamingo, Godwit, Heron, Ibis, Little, Oystercatcher, Plover, Rail, Redshank, Ruff, Sanderling, Sandpiper, Shorebird, Snipe, Sora, Spoonbill, Stork, Wader, Waterbird, Waterfowl, Whimbrel, Wildfowl, Yellowlegs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOATS,AIR BOAT,BOATAir,BOAT,Specifically large fan airboats used in swamps. Think the type of boat used in the Everglades. Also hovercraft.,"Air, Amphibious, Boat, Fan, Hovercraft, Swamp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOATS,BOW WASH,BOATWash,BOAT,"The waves pushed up by a boat or ship going through the water, a relatively clean recording.","Bow, Propeller, Ripple, Wake, Wave",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOATS,DOOR,BOATDoor,BOAT,Boat or Submarine doors. Some possible overlap with over DOOR categories or VEHICLES-DOOR.,"Access, Boat, Bulkhead, Cabin, Door, Ferry, Gangway, Gate, Hatch, Ship, Trapdoor, Watertight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOATS,ELECTRIC,BOATElec,BOAT,"Any boat powered by electricity. Fairly rare. Possible a a radio controlled boat, or electric trolling motor.","DC, Electrical, Motor, Powered, Trolling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOATS,FISHING,BOATFish,BOAT,"Industrial fishing boats, crab boats, trawlers. Simple fishing boats to BOATS-MOTORBOAT.","Angling, Bass, Boat, Crab, Dredger, Fisher, Fisheries, Fisherman, Fishermen, Fishery, Fleet, Gillnetter, Jon, Line, Research, Seiner, Sportfishing, Trawl, Trawler, Trawlers, Vessel, Vessels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOATS,HORN,BOATHorn,BOAT,Horns on boats and ships. Fog horns would go in HORNS-AIR category.,"Air, Blast, Canal, Departure, Ferry, Horn, Ports, Ship, Tugboat, Warning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOATS,INTERIOR,BOATInt,BOAT,"Interior ambiences on boats and ships, ferries, cruise ships, navy ships.","Aboard, Balcony, Belowdecks, Berth, Bilge, Boat, Bowels, Bunk, Cabin, Cargo, Cockpit, Cruise, Engine, Ferries, Ferry, Freighter, Galley, Head, Helm, Inside, Interior, Military, Navy, Room, Sailboat, Salon, Ship, Stateroom, Stowaway, Submarine, Tanker, Tugboat, Yacht",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOATS,MECHANISM,BOATMech,BOAT,"All manner of boat mechanisms. Sailing ship rigging, pulleys, ropes, ship wheels. See also BOATS-DOOR.","Anchor, Cage, Davit, Grapnel, Jigger, Net, Propeller, Pulley, Rigging, Rope, Rudder, Ship, Throttle, Trap, Wheel, Winch, Windlass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOATS,MILITARY,BOATMil,BOAT,"Specifically military boats and ships, destroyers, aircraft carriers. Any military boat.","Aircraft, Amphibious, Armada, Attack, Battlecruiser, Battleship, Blockade, Boat, Carrier, Corvette, Craft, Cruiser, Cruisier, Destroyer, Dreadnought, Fast, Fleet, Flotilla, Frigate, Gunboat, Landing, Naval, Patrol, Submarine, Torpedo, Warship",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOATS,MISC,BOATMisc,BOAT,Boat sounds not fitting another category in this list.,"Afloat, Barge, Boatswain, Bosun, Capsize, Capsizing, Paddleboard, Paddleboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOATS,MOTORBOAT,BOATMotr,BOAT,"General small boats, personal fishing boats, speedboats, pontoon boats. You average recreational boat.","Bass, Boat, Bowrider, Cabin, Cruiser, Duck, Fishing, Personal, Pontoon, Powerboat, Runabout, Ski, Small, Speedboat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOATS,RACING,BOATRace,BOAT,"Powered racing boats, not for human powered racing boats, those would go under BOATS-ROWING.","Boat, Cigarette, Drag, Hydrofoil, Hydroplane, Jet, Powerboat, Regatta, Ski",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOATS,ROWBOAT,BOATRow,BOAT,"Canoes, rowboats, kayaks probably, human powered boats that use oars and paddles, even racing rowboats.","Canoe, Canoes, Cutter, Dinghy, Dory, Gondola, Inflatable, Jon, Kayak, Lifeboat, Longboat, Oar, Outrigger, Paddle, Punt, Raft, Row, Rowboat, Scow, Scull, Skiff, Wherry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOATS,SAILBOAT,BOATSail,BOAT,"Composite recordings of rigging and sails, isolated elements to CLOTH-FLAP for close sails, or BOATS-MECHANISM for rigging.","Barkentine, Barque, Barquentine, Brig, Brigantine, Catamaran, Centerboard, Clipper, Cutter, Dhow, Dinghy, Junk, Keelboat, Ketch, Longboat, Monohull, Pinnace, Proa, Regatta, Sailboat, Schooner, Shallop, Sloop, Trimaran, Yacht, Yawl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOATS,SHIP,BOATShip,BOAT,"Large ship, passenger cruise ships, oil tankers, things relating to these.","Cargo, Container, Cruise, Ferry, Freighter, Icebreaker, Large, Oil, Passenger, Pirate, Research, Ship, Tanker, Tugboat, Vessel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOATS,STEAM,BOATStm,BOAT,"Old steam paddle boats, big steam ship sounds.","Boiler, Engine, Paddlewheel, Riverboat, Ship, Steamboat, Steamer, Steamship, Sternwheeler, Titanic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOATS,SUBMARINE,BOATSub,BOAT,"Relating to a submarine, include sonar pings. Classic 'Dive' alarm would go in ALARMS-SIREN with keyword Klaxon.","AUV, Deep-Sea, Nuclear-Powered, Research, ROV, Sonar, Sub, Submarine, Submersible, Subs, Torpedo, Torpedoing, U-Boat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOATS,UNDERWATER,BOATUndwtr,BOAT,"Specifically boats and ships recorded underwater, usually hydrophone recordings. SUBMARINES have their own subcategory.","Recorded, Submerged, Undersea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULLETS,BY,BLLTBy,BLLT,"Bullet pass bys in air, or underwater.","Bullet, Fwip, Graze, Subsonic, Supersonic, Whiz-By, Whizby",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULLETS,IMPACT,BLLTImpt,BLLT,"Bullet hits and impacts, on a bullet hit on any material from the ground, to wood, to a person.","Armor, Ballistic, Body, Bullet, Bulletproof, Gunshot, Headshot, Hit, Impact, Killshot, Penetration, Pierce, Shot, Strike, Struck, Vest, Wounded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULLETS,MISC,BLLTMisc,BLLT,Bullet sounds not fitting another category in this list.,"Air, Ammunitions, Armor, Bandoliers, BB, Birdshot, Blanks, Buckshot, Bullet, Cartridges, Dummy, Frangible, Incendiary, Miscellaneous, Paintball, Pellet, Piercing, Reloads, Rifle, Rounds, Rubber, Slug, Subsonic, Supersonic, Tracer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULLETS,RICOCHET,BLLTRico,BLLT,"Bullet ricochets, that classic old west 'ping' when a bullet bounces off something.","Deflect, Ricochet, Ricos, Whizzing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULLETS,SHELL,BLLTShel,BLLT,Bullet shells ejecting and dropping to the ground. See also GUNS-HANDLING for things like loading or unloading a gun.,"Ammo, Ammunition, Cartridge, Casing, Eject, Housing, Shell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,ANIMAL,TOONAnml,TOON,"Cartoon animals, made from animals calls, props, etc. Very silly or stylized animals calls for use in Cartoons.","Animal, Animated, Call, Cartoony, Comic, Duck, Fake, Hanna, Hunting, Silly, Toon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,BOING,TOONBoing,TOON,"Cartoon boings, like for a bouncing cartoon character. Roger Rabbit or Tigger from Winnie the Pooh.","Animated, Cartoony, Comic, Hanna, Harp, Jaw, Mouth, Pogo, Silly, Spring, Stick, Toon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,CLANG,TOONClang,TOON,"Cartoon clangs, like a funny anvil hit. Most likely a very metallic resonant hit.","Animated, Anvil, Bong, Cartoony, Clink, Comic, Hanna, Metallic, Silly, Toon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,CREAK,TOONCreak,TOON,"Cartoon creaks, some overlap or confusion with CARTOON-STRETCH possible.","Animated, Cartoony, Comic, Hanna, Screech, Silly, Toon, Wood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,HORN,TOONHorn,TOON,"Cartoon horns, as in bulb horns, clown horns.","Animated, Bugle, Bulb, Cartoony, Clown, Comic, Hanna, Honk, Silly, Toon, Trumpet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,IMPACT,TOONImpt,TOON,"Cartoon hits, bonk, boink, doink..","Animated, Bang, Biff, Boff, Boink, Bonk, Cartoony, Clobber, Comic, Doink, Hanna, Hit, Punch, Shtoink, Silly, Smack, Strike, Thunk, Toon, Wham, Zonk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,MACHINE,TOONMach,TOON,"Cartoon machines, an overly comical sounding machine or contraption. A Rube Goldberg contraption.","ACME, Animated, Apparatus, Cartoony, Comic, Comical, Contraption, Device, Gadget, Gizmo, Goldberg, Hanna, Machine, Rube, Silly, Toon, Trap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,MISC,TOONMisc,TOON,Cartoon sounds not fitting another category in this list.,"Animated, Blorb, Cartoony, Comic, Flump, Hanna, Silly, Squanch, Toon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,MUSICAL,TOONMx,TOON,Cartoon musical phrases. String plucks for a cartoon character sneaking up on another. Perhaps a cartoon musical phrase.,"Animated, Ascend, Cartoony, Comic, Descend, Gliss, Hanna, Melodic, Musical, Silly, Toon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,PLUCK,TOONPluk,TOON,"Cartoon string plucks, violin plucks, dental floss plucks.","Animated, Cartoony, Comic, Hanna, Plink, Pluck, Silly, String, Toon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,POP,TOONPop,TOON,"Cartoon funny pops, mouth pops, suction cup pops.","Animated, Bubble, Bubblegum, Cartoony, Comic, Cup, Gun, Hanna, Mouth, Pop, Pops, Silly, Suction, Toon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,SHAKE,TOONShake,TOON,"Cartoon shake, like a noisemaker toy, maraca.","Animated, Cartoony, Comic, Hanna, Rattle, Silly, Toon, Tremble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,SPLAT,TOONSplt,TOON,"Cartoon splats, funny liquid and mud like splats and things.","Animated, Cartoony, Comic, Hanna, Silly, Splat, Splort, Squelch, Squish, Toon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,SQUEAK,TOONSqk,TOON,Cartoon squeaks. funny little sounding squeaks of things.,"Animated, Cartoony, Comic, Hanna, Rubber, Silly, Squeak, Toon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,STRETCH,TOONStrch,TOON,"Cartoon stretches, funny rubber or other type stretching sounds, exaggerated.","Animated, Cartoony, Comic, Elongate, Extend, Hanna, Lengthen, Pull, Silly, Strain, Toon, Yank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,SWISH,TOONSwsh,TOON,"Cartoon swishes, specifically very funny cartoony swishes.","Animated, Cartoony, Comic, Hanna, Silly, Swirl, Swoosh, Toon, Twirl, Whoosh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,TWANG,TOONTwang,TOON,"Cartoon twangs, that classic ruler twang type sound.","Animated, Band, Cartoony, Comic, Hanna, Harp, Jaw, Pluck, Rubber, Ruler, Silly, String, Toon, Twanging",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,VEHICLE,TOONVeh,TOON,"Cartoon vehicles, think Jetsons spaceship or Flintstones cars.","Animated, Backfire, Cartoony, Comic, Contraption., Flintstones, Hanna, Jetsons, Silly, Toon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,VOCAL,TOONVox,TOON,"Cartoon vocals, specifically very silly. See also CARTOON-ANIMALS for non-human vocals.","Animated, Cartoony, Comic, Grumble, Hanna, Mumble, Mutter, Ramble, Silly, Toon, Voice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,WARBLE,TOONWarb,TOON,Cartoon warble.,"Animated, Cartoony, Comic, Hanna, Quaver, Silly, Toon, Vibrato, Warbling, Wobble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,WHISTLE,TOONWhis,TOON,"Cartoon whistles, most likely slide whistles, other very silly whistles. A Wolf-Whistle.","Animated, Blow, Cartoony, Comic, Hanna, Silly, Slide, Toon, Toot, Whistle, Wolf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTOON,ZIP,TOONZip,TOON,"Cartoon zips. Very fast 'zip' type sounds, often for fast movement aways.","Animated, Cartoony, Comic, Dart, Flash, Fly, Hanna, Rico, Silly, Toon, Whizz, Zing, Zip, Zippy, Zoom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERAMICS,BREAK,CERMBrk,CERM,"Ceramics break of a more singular nature, a plate shatter, breaking, cracking, crunching. Mostly for single items breaking. See also CERAMICS-CRASH & DEBRIS.","Apart, Break, Burst, Ceramic, Ceramics, China, Chip, Clay, Crack, Crockery, Crumble, Crunch, Crush, Demolish, Destroy, Disintegrate, Earthenware, Fracture, Fragment, Porcelain, Pottery, Shatter, Smash, Snap, Splinter, Split, Stoneware, Terracotta, Tile, Ware",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERAMICS,CRASH & DEBRIS,CERMCrsh,CERM,"Ceramics destruction of more of a group nature, multiple crashes and debris. See also CERAMICS-BREAK.","Ceramic, Ceramics, China, Clay, Collision, Crockery, Debris, Earthenware, Fall, Fragments, Porcelain, Pottery, Remains, Rubble, Ruins, Scatter, Shards, Smash, Stoneware, Terracotta, Tile, Trash, Ware, Wreckage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERAMICS,FRICTION,CERMFric,CERM,"Ceramics friction, scraping, squeaking, screeching.","Abrasion, Attrition, Ceramic, Ceramics, China, Clay, Creak, Crockery, Earthenware, Erosion, Grating, Grinding, Porcelain, Pottery, Rasping, Rubbing, Scouring, Scrape, Scraping, Scratching, Screech, Scuffing, Sliding, Squeak, Stoneware, Stress, Terracotta, Tile, Ware, Wear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERAMICS,HANDLE,CERMHndl,CERM,"Ceramics handling, picking up a coffee mug, handling a plant pot. Some overlap with CERAMICS-MOVEMENT.","Caress, Catch, Ceramic, Ceramics, China, Clasp, Clay, Clench, Clutch, Crockery, Down, Earthenware, Embrace, Fondle, Grab, Grasp, Grip, Handle, Hold, Manipulate, Operate, Palm, Pickup, Porcelain, Pottery, Seize, Set, Stoneware, Take, Terracotta, Tile, Toss, Touch, Use, Ware",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERAMICS,IMPACT,CERMImpt,CERM,"Ceramics impacts without breaking, so hits drops, clunks and clinks. See also CERAMICS-BREAK.","Bang, Banging, Bash, Bump, Ceramic, Ceramics, China, Clap, Clay, Clink, Clunk, Collide, Colliding, Collision, Crash, Crashing, Crockery, Drop, Earthenware, Hit, Hitting, Impact, Impacting, Jolt, Knock, Porcelain, Pottery, Pound, Ram, Shock, Slam, Slamming, Smack, Smacking, Stoneware, Strike, Striking, Terracotta, Thrust, Thump, Tile, Ware",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERAMICS,MISC,CERMMisc,CERM,Ceramics sounds not fitting another category in this list.,"Ceramic, Ceramics, China, Clay, Crockery, Earthenware, Miscellaneous, Porcelain, Pottery, Stoneware, Terracotta, Tile, Ware",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERAMICS,MOVEMENT,CERMMvmt,CERM,"Ceramics single or group movement, so dragging, shaking and rattling. See also CERAMICS-HANDLE.","Ceramic, Ceramics, China, Clatter, Clay, Crockery, Drag, Earthenware, Jiggle, Jingle, Move, Porcelain, Pottery, Rattle, Roll, Shake, Shift, Stoneware, Terracotta, Tile, Vibrate, Ware, Wobble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERAMICS,TONAL,CERMTonl,CERM,"Ceramics ringing, as in being bowed.","Bowed, Ceramic, Ceramics, China, Clay, Crockery, Earthenware, Frequency, Harmonic, Melodic, Melodious, Musical, Ping, Pitch, Porcelain, Pottery, Resonance, Resonant, Ring, Shing, Sonorous, Sound, Stoneware, Terracotta, Tile, Timbre, Tonal, Tone, Ware",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
